,Date,Team_1,Team_2,Winner,Margin,Ground
0,05/10/2023,England,New Zealand,New Zealand,9 wickets,"Narendra Modi Stadium, Ahmedabad"
1,06/10/2023,Netherlands,Pakistan,Pakistan,81 runs,"Rajiv Gandhi International Stadium, Hyderabad"
2,07/10/2023,Afghanistan,Bangladesh,Bangladesh,6 wickets,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
3,07/10/2023,South Africa,Sri Lanka,South Africa,102 runs,"Arun Jaitley Stadium, Delhi"
4,08/10/2023,India,Australia,India,6 wickets,"MA Chidambaram Stadium, Chennai"
5,09/10/2023,Netherlands,New Zealand,New Zealand,99 runs,"Rajiv Gandhi International Stadium, Hyderabad"
6,10/10/2023,Bangladesh,England,England,137 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
7,10/10/2023,Pakistan,Sri Lanka,Pakistan,6 wickets,"Rajiv Gandhi International Stadium, Hyderabad"
8,11/10/2023,India,Afghanistan,India,8 wickets,"Arun Jaitley Stadium, Delhi"
9,12/10/2023,Australia,South Africa,South Africa,134 runs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
10,13/10/2023,Bangladesh,New Zealand,New Zealand,8 wickets,"MA Chidambaram Stadium, Chennai"
11,14/10/2023,India,Pakistan,India,7 wickets,"Narendra Modi Stadium, Ahmedabad"
12,15/10/2023,Afghanistan,England,Afghanistan,69 runs,"Arun Jaitley Stadium, Delhi"
13,16/10/2023,Australia,Sri Lanka,Australia,5 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
14,17/10/2023,Netherlands,South Africa,Netherlands,38 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
15,18/10/2023,Afghanistan,New Zealand,New Zealand,149 runs,"MA Chidambaram Stadium, Chennai"
16,19/10/2023,India,Bangladesh,India,7 wickets,"Maharashtra Cricket Association Stadium, Pune"
17,20/10/2023,Australia,Pakistan,Australia,62 runs,"M Chinnaswamy Stadium, Bengaluru, Bangalore"
18,21/10/2023,Netherlands,Sri Lanka,Sri Lanka,5 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
19,21/10/2023,England,South Africa,South Africa,229 runs,"Wankhede Stadium, Mumbai"
20,22/10/2023,India,New Zealand,India,4 wickets,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
21,23/10/2023,Afghanistan,Pakistan,Afghanistan,8 wickets,"MA Chidambaram Stadium, Chennai"
22,24/10/2023,Bangladesh,South Africa,South Africa,149 runs,"Wankhede Stadium, Mumbai"
23,25/10/2023,Australia,Netherlands,Australia,309 runs,"Arun Jaitley Stadium, Delhi"
24,26/10/2023,England,Sri Lanka,Sri Lanka,8 wickets,"M Chinnaswamy Stadium, Bengaluru, Bangalore"
25,27/10/2023,Pakistan,South Africa,South Africa,1 wicket,"MA Chidambaram Stadium, Chennai"
26,28/10/2023,Australia,New Zealand,Australia,5 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
27,28/10/2023,Bangladesh,Netherlands,Netherlands,87 runs,"Eden Gardens, Kolkata"
28,29/10/2023,India,England,India,100 runs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
29,30/10/2023,Afghanistan,Sri Lanka,Afghanistan,7 wickets,"Maharashtra Cricket Association Stadium, Pune"
30,31/10/2023,Bangladesh,Pakistan,Pakistan,7 wickets,"Eden Gardens, Kolkata"
31,01/11/2023,New Zealand,South Africa,South Africa,190 runs,"Maharashtra Cricket Association Stadium, Pune"
32,02/11/2023,India,Sri Lanka,India,302 runs,"Wankhede Stadium, Mumbai"
33,03/11/2023,Afghanistan,Netherlands,Afghanistan,7 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
34,04/11/2023,New Zealand,Pakistan,Pakistan,21 runs,"M Chinnaswamy Stadium, Bengaluru, Bangalore"
35,04/11/2023,Australia,England,Australia,33 runs,"Narendra Modi Stadium, Ahmedabad"
36,05/11/2023,India,South Africa,India,243 runs,"Eden Gardens, Kolkata"
37,06/11/2023,Bangladesh,Sri Lanka,Bangladesh,3 wickets,"Arun Jaitley Stadium, Delhi"
38,07/11/2023,Afghanistan,Australia,Australia,3 wickets,"Wankhede Stadium, Mumbai"
39,08/11/2023,England,Netherlands,England,160 runs,"Maharashtra Cricket Association Stadium, Pune"
40,09/11/2023,New Zealand,Sri Lanka,New Zealand,5 wickets,"M Chinnaswamy Stadium, Bengaluru, Bangalore"
41,10/11/2023,Afghanistan,South Africa,South Africa,5 wickets,"Narendra Modi Stadium, Ahmedabad"
42,11/11/2023,Australia,Bangladesh,Australia,8 wickets,"Maharashtra Cricket Association Stadium, Pune"
43,11/11/2023,England,Pakistan,England,93 runs,"Eden Gardens, Kolkata"
44,12/11/2023,India,Netherlands,India,160 runs,"M Chinnaswamy Stadium, Bengaluru, Bangalore"
45,15/11/2023,India,New Zealand,India,70 runs,"Wankhede Stadium, Mumbai"
